11个城市,北京,北京,天津,天津,成都,成都,西安,西安,淄博,淄博,长沙,长沙,唐山,唐山,济南,济南,保定,保定,贵阳,贵阳,合肥,合肥,长春,长春,石家庄,石家庄,苏州,苏州,郑州,郑州,茂名,茂名,扬州,扬州,莆田,莆田,绍兴,绍兴,阜阳,阜阳,上海,上海,广州,广州,南京,南京,汕头,汕头,杭州,杭州,武汉,武汉,深圳,深圳,佛山,佛山,南昌,南昌,太原,太原,厦门,厦门,盐城,盐城,襄阳,襄阳,重庆,重庆,沈阳,沈阳,大连,大连,昆明,昆明,南宁,南宁,无锡,无锡,枣庄,枣庄,宁波,宁波,南通,南通,哈尔滨,哈尔滨,青岛,青岛,连云港,连云港,淮安,淮安,常州,常州,临沂,临沂,乌鲁木齐,乌鲁木齐,徐州,徐州
时间,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
24,124.5,49.2,69,121.4,176.3,139.7,79.1,124.1,47.8,48.5,201.9,154.5,39.3,41.6,66.9,95.5,134,153.3,66.7,74,249.4,119.8,53.4,33.3,84.9,68.3,56.6,34,96.9,98.7,190,192.7,90.2,72.9,48,91.7,122.6,62.5,131.5,242.9,39.7,22,112.8,166.1,40.8,124.4,65.5,121.3,104.6,65.5,89.8,125.3,64.1,82.1,170,132.6,132.9,55.5,85,91.7,98.9,164.8,50,72.9,146,154.2,71.4,92.9,59.2,53.7,63.2,61.3,32.9,59.8,92.9,111,58.1,36.1,100,146.8,87.8,33.3,60.3,62.1,108.5,117.2,15.5,38,34.8,55.6,55.6,65.2,49.5,55,43.2,49.4,60.7,31.4,53.3,134.4
23,127.7,60.1,63.4,131.7,174.8,137.5,79.2,123.5,56.4,52.1,244.4,158.7,36.4,39,86.2,86.9,137.9,203.6,72.9,81.6,262.8,101.3,55,35.3,87.1,59.6,55.6,41.6,97,102.1,215.6,162.6,79.1,67.5,64.6,90.2,125.5,63.5,138,212.9,40.7,19.6,127,186.3,39.8,121.1,66,149.4,93.8,64.1,96.1,120.2,67.1,103.2,175,142.9,120.5,55.2,99.7,89.3,122.2,153.6,65.2,80.8,152.9,158.1,71.9,89.4,60.5,59.6,71.4,68.5,41.7,68.8,117.9,127.1,63.7,34,133.3,153,98.2,28.2,98.5,88.6,113.6,125,24,42.4,43.2,77.6,59.6,75.7,50.4,46,44.8,43.9,58.3,28.5,55.7,140
22,133.6,84.4,59.2,122.5,175.5,139.9,79.7,125,64.1,37.2,293.2,162.6,36.9,45,88,76.5,135.7,201.2,70,82.5,213,98.6,53.4,37.3,90.3,62.7,54.7,44.9,93.8,101.9,203.9,164.4,73.5,74.3,60,88.5,117.2,55.7,127.5,222.9,42.6,20.9,132.9,197.5,37.3,142.9,70.5,129.8,89.1,59.9,100,117.6,65.2,87,158.6,138.3,109.6,52.8,95.7,85.8,117.8,189.6,76.1,79.5,153.8,175.6,76,94.8,68.4,71.9,88.2,72.8,39,72.5,146.4,137.2,58.5,23.3,120.6,160,102.7,25,147.1,100,117.3,89.9,28.1,50.9,41.3,180.6,62,92.9,41.8,44.5,48.7,109.8,61.7,30.4,56.7,141.9
21,146.1,100.3,56.4,111.5,177.5,139.1,80.1,134.6,72,37,306.1,162.2,42.6,88.5,94.8,73,122.3,164.8,72.9,93.6,136.1,100,49.7,47.2,85,68.8,53.3,43.5,94.5,107.8,161,198.4,80,75.4,60.9,93.2,105.8,49.4,106.5,185.1,38.7,22,138.6,190,41.8,157.6,73.3,74.7,60.8,57.8,104,125,65.5,83.6,145.6,143.4,106.8,49.4,86.4,85.5,127.1,248.7,56.5,60.5,158.7,184.8,77.6,96.2,55.9,115,93,74.5,40,68.6,151.7,138.2,52.8,23,100,133.3,92.8,22.6,141.9,63.2,107,66,22.5,40,38,186.4,61.9,97,38.7,38,52.9,115.3,62.4,20.7,56.4,138.2
20,162.5,106.3,55.2,104,177.9,136.3,81.5,141.4,68.8,35.6,323.6,157.5,43.8,93.9,101.3,64,110.7,147.1,74.2,92.7,100,98.5,50,63.9,73.1,73.7,47.7,40.9,94.4,114.9,142.7,271.7,91,49.2,70,100,106,47.3,107.5,191.9,40.4,23.1,130.8,199.2,46.9,148.7,74,105.3,48.1,54.3,106.5,119.5,62.4,83.2,147,153.2,107.3,50.3,82.4,81.3,140,305,47.9,40.5,156.1,175.6,81.8,96.5,45.6,132.4,94.4,70.1,44.7,59.4,172.2,130.7,57.6,21.8,79.4,103.1,96.4,22.3,64.3,50,99.7,60,19.7,36.6,30,85.7,33.3,78.1,36.4,37.8,60,114.1,53.2,37.1,54.8,134.4
19,156.4,132.2,59.6,102.6,175.2,124.2,86.8,146.2,70.6,25.6,336.2,160.2,46.2,89.7,110.7,62.4,112.2,124.6,71.9,89.9,91,98.5,55.9,67.8,82.1,73.1,44.2,37,92.8,117.9,132.9,364.6,111.1,60,65,112.1,105.2,44.1,87.9,223.3,38.9,28.2,137.5,189.1,61.7,134,71.1,106,45.3,45.6,107.3,111.8,60.9,84.6,144.5,147.7,112.5,52.1,81.9,86.6,157.5,291.7,35.4,27.1,157,169.7,84.1,100.1,46.1,112.4,101.4,82.3,42,56.2,193.9,125,59.1,23.5,102.9,104.8,89.2,23.6,46.4,33.3,90.2,61.4,24,38.7,26.9,42.3,38.1,64.5,37,42,61.2,83.5,60.3,43.9,51.6,136.1
18,166.3,181.4,65.1,104.2,169.6,114.6,86.8,150.2,76.6,28.8,303.2,165.6,56.7,87,107.4,62.7,118.6,103.1,77.3,89.8,74.1,100,61.4,54.2,79.5,70.2,46.4,38.7,89.3,113.7,133.3,367.7,132,61.4,73.7,126.6,103.7,44.3,91.1,208.1,35.7,28.2,143.5,179,70.1,119.2,74.3,90.9,38.3,51.3,108.8,98.8,65.4,88.3,138.9,148.6,115.3,57,79.6,97.6,140,280,33.3,27.8,153.9,156.6,93.4,113.1,52.2,75.4,109.9,82.5,34.1,57.4,217,125,68.8,29.7,97.4,93.1,91.1,25.5,57.1,31.7,87.4,76.6,24,41.2,21.4,36.5,45.7,67.2,37.6,49.6,70,76.9,63.9,45.2,54.8,130.4
17,186.7,210.6,80.2,99.8,167.2,102.3,89.9,153.2,81.9,30.2,317.4,179.8,57.3,75.4,141.8,70.4,130.9,106.6,94,88,67.1,103.4,57.1,48.7,90.1,65.6,46.4,51.6,84.1,109.7,230,320,147.7,72.3,80,126.4,105.2,38.7,103.8,215.8,33.3,24.4,146.3,168.5,59.3,106.3,66.7,91,35.6,47.8,107.7,89.9,70.8,95.7,158.8,123.6,112.1,57.9,57,103.3,132.5,221.8,37.5,26.4,137.4,151.4,100,118.7,63.8,73.1,122.7,75.8,40,63.1,226.4,123.1,68.6,44.1,136.8,90,94.8,27.8,81,36.7,81.1,87.7,29.1,45.2,29.2,36,66.7,73.4,44.4,57.2,82.7,73.6,76.1,61.9,60.5,134.2
16,212.9,190.2,119.2,100.9,162.1,92.2,93,148.9,85,33.8,304.9,193.1,83.1,71.9,180.9,75.9,155.9,119.4,106.9,107.8,70.9,103.5,50,48.2,90,67.4,45.7,53.4,78.8,104.4,244.7,408.3,148.8,81.4,85.7,120.3,53.4,38.7,121.2,246,34.6,31.7,145.5,156,60.4,101.5,60,86.9,35.6,46.3,108.6,82.1,68.4,115.5,151.8,131.8,112.5,59.7,76,69.6,130,154,43.8,27.8,130.2,140.4,108.4,137.7,78.5,83.5,145.7,72.2,37.5,78.4,251.4,126.3,100,52.6,140.9,94.4,92.7,33,143.5,38.7,74.4,89.3,43.7,61.2,39.5,35.4,84.6,68.8,59.7,58.9,82.4,78.3,101.6,85.3,63,130.4
15,263.9,181.7,242.7,92.7,152.3,78.2,89.4,130,89.7,34.1,300,180.2,115.7,73.5,184.7,68,180,150,257.7,148.9,127.9,112.3,47.4,51.9,89.9,81,43.6,45.5,77.3,100.6,158.9,246.2,120,65.7,81,123.6,49.8,42.6,186.3,195.8,29.1,29.5,97.7,135.3,58.4,95.9,56.1,80.6,36.7,45.1,108.3,83.3,69.1,86.4,145.5,98.9,108,64.4,72,104,127.5,78.3,66.7,32.4,120.9,137.1,156.9,160.9,70.5,99.6,244.6,88.2,44.2,71.3,301.2,123.4,151.6,78.8,191.7,154.2,100.4,35.7,250,43.3,74.2,90,85.5,75.8,47.4,47.9,90.4,67.2,63.5,64.1,76.4,81.9,119.8,90.3,76.7,130.4
14,280.9,179.2,255.5,84,148.7,74.7,82.5,114.7,69.6,34.8,247.8,157.8,188,22.3,149.7,74,205.7,156.1,105.9,72,71.4,119,45.9,63,116.9,93.8,44.4,42.7,76.4,90,85.4,157.1,115.2,53.3,91.3,132.8,54.6,37,178.6,201.3,26.4,27.3,73.9,140.2,61.3,90,50.2,75.7,41.5,50.1,107.2,83,67.4,79.4,90.6,72.4,104.2,66,77.7,65.3,97.5,41.7,102,32.4,118.6,114.2,112.2,220.2,127.7,124.9,397.4,164.1,83.2,99.6,268.8,100.2,99,44.7,190.4,130,90.6,40,301.5,66.7,101.3,103.6,192.7,71,59.5,62.5,107.7,98.5,63.6,72.6,90,91.4,87,93.8,105,132.3
13,191.7,176.5,138.6,69.5,141.6,68.8,72.1,99.8,73.8,33.8,150.4,134.5,75.5,22.8,135.5,69.5,166.5,143.4,96.7,63.8,79.7,130.5,45.1,62.6,123.5,98,49.2,39.1,72,82.1,90.3,167.1,70.4,51.4,58.7,97.1,46.5,37.2,222.2,151.7,25,23.3,56.9,60.6,39.1,98.2,44.3,57.3,30.3,47.6,117.3,86.7,55.7,72.4,75.2,66.8,98.5,70.1,60.3,70,112.5,44.6,117.9,30,116.8,102,113.4,107,96.8,88,259.2,170.9,52.5,65.6,112.1,45.7,82,41.2,137.5,93.8,60.4,28.9,220.6,45.2,105.5,126.6,119.4,112.9,45,56.3,78.6,59.1,40,43.1,73,54,76.1,63.3,120,123.4
12,200.7,193.2,108.5,59.7,128.6,62.6,68.2,95.6,95.6,45.3,141.6,126.4,74,32.7,169.5,56.3,163.8,123.9,93.6,60.6,116.9,134.5,42.2,53.8,127.9,91.1,50,40,68.8,78.7,127.6,92.3,53.3,45.7,61.5,157.9,46.5,40.5,253.3,159.5,28.8,29.5,55.8,57.8,37.2,96.5,47,62.4,38.6,50.3,112.5,87.7,55,67.4,80,63.6,91.2,77.4,58.2,72,106.7,51.2,122.4,35.3,115.9,100.8,122.5,95.8,58.8,59.6,83.9,90.5,55.3,53.3,112.7,44.7,103.3,50.3,151.3,102.1,51.4,28.9,228.8,46.8,66.3,103.1,102.8,158,40,35.4,75,51.6,44.1,39.3,69.6,52,80.9,63.7,115,116.1
11,174.5,154.9,83,55.4,112.7,62.3,65,87.2,90.8,44.6,141.3,124,82.3,43.9,141.2,49.1,223.1,105.8,111.6,63.8,168.4,126.7,36.2,40.4,133.8,90.6,50.9,42.6,67,72.4,154.9,107.2,55.7,42.9,68,231,51.4,43.9,242.1,201.3,30.2,34.1,57.6,58.1,37.2,78,44.2,61.3,56.3,58,102.9,93.9,56.9,63.3,81.1,58.2,76.7,84.2,60.4,71.5,93.3,52.2,103.2,42.9,114.5,103.7,118.8,95.2,49.9,45.7,43.3,66.7,49,42.5,108.5,44.1,167.6,60.6,138.2,108.3,53.3,34.3,231.8,71,43.9,80.4,110.9,72.1,40,39.6,75,56.3,45.8,39.1,60.7,53.3,84.6,67.1,108.4,114.2
10,146.7,127.1,98.3,55.9,110.8,62.9,53.2,79.2,99.6,48.9,136.8,118.4,97.4,62.6,121.1,48.6,264.9,114.4,102.8,68.4,243.5,111.9,32.4,35,123.9,81.8,47,42.1,62.5,68.5,80,80.8,60.8,41.4,66.7,214.4,66.4,52.2,225.3,149,32.7,33.7,59.5,56.6,42.3,76.6,48,60.7,62.5,58.1,92.7,89.9,53,58.2,69.4,56.7,61,79.3,57.6,71.3,70.6,52.8,79.3,37.1,111.8,93.6,111.3,89.6,52.9,50.6,49.2,58,37.8,37.3,86.5,41.7,138.2,54.8,107.9,98,51.4,35.5,175,71.1,35.7,70.6,99.3,77.9,34.8,40.6,70,54.3,58.9,42.8,64,56,89.6,62,100.9,115.8
9,118.2,90.6,76.9,56.5,112,63.7,50.5,69.8,63.4,54,133,112.8,120,83.3,110.3,48.2,232.7,125.5,96.6,73.1,214.7,96.6,32.7,29.5,117.7,71.7,47.6,41.7,60.5,64.9,70.5,53.3,51.7,40,64,198,83.7,58.7,140.4,103.2,36.5,33.3,55,55,44.3,75.4,54.4,60,73.3,58.2,86,86,49.2,52.4,64.7,55,46.2,74.9,55.3,71,51.8,53.3,48.3,31.4,113,83.6,105.9,83.6,57.7,60.8,41.4,49.4,28.8,30.5,65,39.5,83.5,49.5,94.6,88,52.7,36.8,98.5,71.2,31.4,59.2,97.2,84.4,41.3,41.7,69.7,52.7,52.2,46.5,65,58.8,86.3,56.9,88.2,117.9
8,95,84.7,48.1,52.6,113,66.3,48.5,63.9,49.7,42.2,125.7,94.2,60,79.8,63,39.2,214.5,121.8,74.4,73.6,146.6,94.7,33,25.8,84.3,43.5,43.1,38.3,60.7,62.3,66.7,54.5,46.2,36.3,60.4,167,93,54.6,99.4,96.7,37.7,37,47.7,55,38.2,79.4,54.5,57.2,88.2,59.1,87.7,81.2,46.8,51.5,66.7,52.9,41.7,68.9,50.5,70,51.8,48.3,38.5,27.1,107,83.8,95.6,78.3,50.6,68.6,32.2,45.6,23.8,28.1,57.4,40.9,50.9,30.1,78.8,61.1,54.5,31.7,43.5,42.4,27.5,49,75.8,73.3,36,28.3,70,51.4,37.2,39.9,60.4,54.1,85.1,62.3,77.7,107.8
7,85.6,82.8,44.4,59.2,106.7,72,48.6,61.9,34.9,36.2,120.2,91.2,37.6,82.8,51.5,37.5,106.7,79.6,60,58.1,112.1,76.8,31.1,25.7,53,41,37.9,36.5,62.9,59.1,65.1,62.9,36.7,36.5,50,150,106.2,51.8,88.6,115,32.7,35.8,46,58.4,29.6,71.3,51.9,54.7,106.3,65.1,82.6,78.4,42.9,47.9,74.3,54.9,46.9,64,49.7,68.2,55,50.9,37,24.3,97,82.3,86.1,72.7,41.4,66.3,21.4,38.4,19,22,48.8,40.9,37.5,34.6,72,63.5,60,32.5,25.9,28.8,23.4,44.9,26.8,58.3,27.1,25,57.6,41.2,30,38.7,51.1,47.1,106.3,74.5,69.3,104.9
6,85.1,80,54.3,64.8,111.3,74,50.6,63.2,29.6,33.9,122.5,104.5,32.5,58,44.9,35.5,56,63.1,48,46.1,104.5,86.3,25.3,23.8,54.2,42.6,34.6,38.4,66.3,56.2,57.5,53.3,33.3,35.7,50,138.6,110.3,50.8,70.2,111.7,33.9,38.2,47.1,57.7,28.2,60,51.5,55.7,121.1,68.6,87.4,75.6,43.4,50.4,74.1,54.4,47,54.4,44.8,62.7,49.4,54.5,32.6,25.7,93.3,83.1,79.2,72.5,37.6,57.8,13.5,35.2,18.3,18.5,48.2,43,39,39.5,76.7,62.5,86.5,34.4,21.4,26.5,19.1,33.7,23.8,42.4,26,25,50,45.5,26.7,40.4,43.9,40,95.9,74.2,65.5,95.2
5,82.7,83,56,60.3,111,77.8,54,57,26.2,33.3,124.5,117.7,51.4,53.3,41.5,40,50,60.9,43.5,37.3,109.3,86.5,23.1,23.8,58.6,44.4,36.5,43.9,70.3,53.4,58.1,64,35,33.9,52,138.6,110.6,54.8,80.6,80,35.1,38.9,47.9,59.5,23.9,62.6,56.1,53.3,128.3,71.8,92.3,85.9,41.9,48.5,81.9,55.5,47.5,47.7,40.4,56.3,55,65.5,32.6,25.7,94.1,80,82.8,73.5,50.4,54.1,13.5,33.3,20.4,20,52.5,42.3,40,32.2,69,59.3,125.6,34.7,22.4,28.6,15.4,33,25,48.5,28.8,23.9,44.6,46.9,27.4,40.1,48.5,30.5,75.9,76.4,65.9,79.3
4,77.6,66.7,64.4,73.6,116,86.8,53.1,54,21,35.9,121.5,123.7,61.7,51.8,41.6,38,60,61.6,36.1,33.9,108.6,85.2,23.9,26.6,49.7,46.9,41.1,47.7,72.4,50.2,59.3,62,35.2,37.8,50,150,107.8,61.9,71.2,83.5,37.5,39,48.1,61.1,23.2,62.1,58,50.5,132,79.5,99.4,93.7,39.2,48.5,81.9,53.3,49,55.7,37.5,55.8,51.8,67.8,37,28.6,94.8,76.8,82.4,71.9,58.8,44,13.5,36.8,22.9,22,51.4,46.9,37.2,27,63.1,51.5,132.6,35.6,27.6,30,15.6,36.1,19,47.1,34.6,29.2,40,42.2,26.7,39.3,46.9,17.1,73.1,82.5,58.3,83.6
3,67,56.6,69.2,74.1,114.6,95.2,45.3,51.3,23.8,31.6,104.8,126.1,58.3,39.7,36.9,35.8,52.7,55.1,34.2,30.1,111.5,81.8,27.7,23.8,46.7,68.5,42.2,40,74.4,46,62.1,66,35.2,38.8,56.8,139.4,111.3,68.2,79.7,68.5,53.4,45.7,46.9,55.8,40.5,66.4,56.4,54.2,129.2,82.5,101.2,100,40.9,48.9,79.9,55,50.9,53.3,28.9,43.8,56.5,61.5,41.3,30.9,96.7,76,85.9,68.2,52.1,32.9,11.8,38.9,26.2,24.7,51.4,49,40.9,24.2,61.6,45.3,121.6,36.7,25.9,30.6,15.2,44,19.5,49.4,39.4,29.2,37.5,15.5,25.1,34.3,45.6,23.4,64.9,80.4,54.8,78.5
2,62.4,38.4,67,78.3,112.8,91.8,40.3,50.7,23.8,29.5,98.8,125,48,35.6,31.1,42.5,60,50.7,33.9,27.5,110.7,82.5,25,22.7,40,60.7,44.8,43.1,76.2,41,61.3,70.9,38.4,35,50,124,108.9,76.9,90,57.8,84.1,46.3,43.7,56.7,51.1,59.3,53,56.2,113.8,86.3,104,102.6,37.6,50.8,81.7,56.1,51.4,50.9,24.7,33.6,54.1,85.9,39.6,28.8,97.4,74.4,85,64.4,52.2,32.7,14,39.2,30.4,27.2,53.8,49.1,44.1,30.3,65.5,48.4,107.5,45.5,24.1,39,16.7,40.7,25.7,42,43.2,27.1,39.4,35.9,24.2,34,49.1,32.4,62.2,74.6,51,76.5
1,52,29.3,49.6,62.7,108.6,90.8,35.7,49.8,24.5,34.8,94.1,120.2,27.6,27.5,26.2,35.9,63,44.8,31.1,25.7,91.2,88.3,24.7,25.4,58.2,49.9,63.7,45.4,77.9,39.5,64.5,73,35.2,32.6,45.8,123.5,92,74.3,87,66,103.2,45.8,45.4,60.3,72,57.3,48.8,57,94.6,85,102.9,100.8,38.9,51.9,79.9,53.8,55,43.2,26,30.7,54.7,80,41.7,33.3,96.6,73.6,93,64,58.2,42.9,15.1,38.8,35,27.6,54.1,47.7,70.6,35.7,64.3,51.7,111,58.1,29,38.4,17.2,44,22.5,42.3,46.7,26,47.7,45.3,25.5,34.6,49.1,36.8,52.9,70.2,52,68.6
